Descripcio_causa_mediata,Numero_expedient
Alcoholèmia,2019S001972    
No hi ha causa mediata,2019S002789    
No hi ha causa mediata,2019S008204    
No hi ha causa mediata,2019S009935    
No hi ha causa mediata,2019S006753    
No hi ha causa mediata,2019S009443    
No hi ha causa mediata,2019S006856    
No hi ha causa mediata,2019S003119    
No hi ha causa mediata,2019S001985    
No hi ha causa mediata,2019S004807    
No hi ha causa mediata,2019S004780    
No hi ha causa mediata,2019S009273    
No hi ha causa mediata,2019S001799    
No hi ha causa mediata,2019S000799    
No hi ha causa mediata,2019S000101    
Calçada en mal estat,2019S000754    
No hi ha causa mediata,2019S004772    
No hi ha causa mediata,2019S008327    
No hi ha causa mediata,2019S000363    
No hi ha causa mediata,2019S007682    
No hi ha causa mediata,2019S006283    
No hi ha causa mediata,2019S005211    
No hi ha causa mediata,2019S008140    
No hi ha causa mediata,2019S008699    
Calçada en mal estat,2019S000159    
No hi ha causa mediata,2019S007479    
No hi ha causa mediata,2019S009049    
No hi ha causa mediata,2019S005443    
No hi ha causa mediata,2019S005495    
No hi ha causa mediata,2019S000029    
No hi ha causa mediata,2019S002195    
No hi ha causa mediata,2019S008949    
No hi ha causa mediata,2019S009713    
No hi ha causa mediata,2019S002171    
No hi ha causa mediata,2019S005387    
No hi ha causa mediata,2019S002087    
No hi ha causa mediata,2019S007285    
No hi ha causa mediata,2019S001533    
No hi ha causa mediata,2019S006730    
No hi ha causa mediata,2019S008288    
No hi ha causa mediata,2019S005408    
No hi ha causa mediata,2019S007183    
No hi ha causa mediata,2019S003991    
No hi ha causa mediata,2019S002910    
No hi ha causa mediata,2019S008715    
No hi ha causa mediata,2019S007741    
No hi ha causa mediata,2019S009120    
No hi ha causa mediata,2019S001812    
No hi ha causa mediata,2019S000421    
No hi ha causa mediata,2019S008610    
No hi ha causa mediata,2019S009241    
No hi ha causa mediata,2019S004474    
No hi ha causa mediata,2019S008977    
No hi ha causa mediata,2019S004172    
No hi ha causa mediata,2019S008856    
No hi ha causa mediata,2019S000434    
No hi ha causa mediata,2019S009578    
No hi ha causa mediata,2019S009841    
No hi ha causa mediata,2019S008277    
No hi ha causa mediata,2019S009159    
No hi ha causa mediata,2019S004160    
No hi ha causa mediata,2019S009755    
No hi ha causa mediata,2019S003472    
Alcoholèmia,2019S006188    
No hi ha causa mediata,2019S006212    
No hi ha causa mediata,2019S009425    
Calçada en mal estat,2019S008500    
No hi ha causa mediata,2019S003941    
No hi ha causa mediata,2019S000265    
No hi ha causa mediata,2019S007463    
No hi ha causa mediata,2019S006504    
No hi ha causa mediata,2019S009097    
No hi ha causa mediata,2019S005159    
No hi ha causa mediata,2019S003675    
No hi ha causa mediata,2019S004182    
No hi ha causa mediata,2019S008387    
No hi ha causa mediata,2019S002595    
No hi ha causa mediata,2019S005791    
No hi ha causa mediata,2019S003652    
No hi ha causa mediata,2019S008861    
No hi ha causa mediata,2019S001748    
No hi ha causa mediata,2019S006735    
No hi ha causa mediata,2019S009421    
No hi ha causa mediata,2019S000290    
No hi ha causa mediata,2019S004018    
